Age,Gender,Education Level,Job Title,Years of Experience,Location,Work Mode,Salary
18,Female,Bachelor's,UX Designer,3.5,Chennai,Hybrid,1038418
56,Male,Master's,Business Analyst,4.1,Pune,Hybrid,1297925
25,Female,PhD,Business Analyst,15.3,Bangalore,Hybrid,3462939
39,Male,Master's,UX Designer,10.1,Chennai,Remote,2257041
51,Female,Bachelor's,Full Stack Developer,9.6,Hyderabad,Remote,2037744
49,Male,Bachelor's,Marketing Manager,9.0,Pune,Remote,2273669
20,Male,Bachelor's,Intern,0.4,Noida,On-site,566805
47,Female,Bachelor's,HR Manager,3.7,Gurgaon,On-site,1561973
35,Female,Bachelor's,Product Manager,15.8,Gurgaon,On-site,3364410
21,Female,Bachelor's,Intern,0.3,Bangalore,Hybrid,446088
56,Male,Bachelor's,Frontend Developer,0.4,Mumbai,Hybrid,663118
41,Female,Bachelor's,Software Engineer,5.0,Gurgaon,On-site,1410817
24,Female,Bachelor's,Business Analyst,22.5,Noida,Hybrid,3866734
24,Male,Bachelor's,Business Analyst,17.8,Hyderabad,On-site,3128347
30,Male,Master's,Backend Developer,17.0,Pune,Remote,3271866
39,Male,Bachelor's,Marketing Manager,14.0,Pune,Remote,2952012
21,Male,Bachelor's,Project Manager,13.1,Noida,Remote,2853265
40,Female,Master's,Frontend Developer,5.0,Mumbai,Hybrid,1538404
37,Male,Master's,Full Stack Developer,21.1,Mumbai,Hybrid,4040363
50,Male,Bachelor's,QA Engineer,2.4,Pune,On-site,823122
47,Male,Bachelor's,Marketing Manager,24.0,Mumbai,On-site,4673933
46,Male,Bachelor's,QA Engineer,20.8,Hyderabad,Hybrid,3651109
19,Male,Master's,Frontend Developer,2.3,Bangalore,Remote,1172335
30,Female,Master's,Software Engineer,9.0,Bangalore,Remote,2220408
50,Male,Bachelor's,HR Manager,17.6,Pune,Hybrid,3504731
39,Male,Master's,Full Stack Developer,24.7,Chennai,Remote,4493293
38,Male,Bachelor's,Software Engineer,24.0,Noida,On-site,4078294
25,Male,Bachelor's,Marketing Manager,20.4,Noida,Remote,3929822
37,Male,Master's,QA Engineer,1.1,Mumbai,On-site,984388
35,Female,Bachelor's,Marketing Manager,5.3,Gurgaon,Hybrid,1758035
50,Male,Bachelor's,Full Stack Developer,4.5,Pune,Hybrid,1261695
32,Female,Bachelor's,DevOps Engineer,10.7,Mumbai,Remote,2223273
57,Male,Bachelor's,Product Manager,14.9,Noida,On-site,3089006
23,Male,Master's,Intern,0.1,Bangalore,Hybrid,599446
36,Male,Bachelor's,Business Analyst,19.6,Gurgaon,Hybrid,3588288
46,Male,Bachelor's,Marketing Manager,9.1,Mumbai,Hybrid,2451239
22,Female,Master's,Project Manager,9.4,Chennai,Hybrid,2464024
48,Female,Master's,Project Manager,6.2,Bangalore,Remote,2153879
52,Female,Bachelor's,Data Scientist,19.0,Bangalore,Hybrid,3731914
55,Male,Bachelor's,Business Analyst,12.7,Mumbai,On-site,2476804
50,Male,PhD,Backend Developer,0.4,Mumbai,On-site,1250943
25,Male,Bachelor's,Business Analyst,21.9,Noida,On-site,3841838
43,Male,Master's,Data Scientist,22.2,Chennai,Hybrid,4285054
19,Male,Bachelor's,DevOps Engineer,6.2,Bangalore,Remote,1593458
22,Female,Bachelor's,Full Stack Developer,20.8,Noida,Remote,3628134
49,Male,Bachelor's,Full Stack Developer,24.6,Bangalore,Hybrid,4268380
27,Female,Master's,Product Manager,18.4,Pune,Remote,3891944
18,Male,Master's,Software Engineer,0.5,Noida,Remote,785022
28,Female,Master's,Backend Developer,22.3,Pune,Remote,4119217
20,Male,Bachelor's,Intern,0.8,Hyderabad,On-site,495181
58,Male,Bachelor's,Product Manager,23.7,Mumbai,On-site,4619172
43,Male,Master's,Frontend Developer,6.6,Bangalore,On-site,1746505
51,Male,Master's,QA Engineer,22.4,Mumbai,Hybrid,4137512
42,Male,Bachelor's,Data Scientist,2.0,Noida,Remote,1151864
22,Female,Bachelor's,Intern,0.8,Noida,Remote,588636
43,Male,Bachelor's,HR Manager,11.9,Hyderabad,On-site,2670130
18,Female,Bachelor's,Project Manager,22.5,Mumbai,Hybrid,4325046
40,Female,Master's,UX Designer,15.8,Mumbai,Remote,3124025
55,Female,Bachelor's,Product Manager,6.0,Mumbai,On-site,1998592
29,Male,Master's,Product Manager,10.2,Mumbai,Remote,2804124
25,Male,Master's,QA Engineer,7.7,Noida,Remote,1901135
48,Female,Bachelor's,Frontend Developer,14.0,Hyderabad,Remote,2575991
21,Male,Bachelor's,Backend Developer,3.8,Pune,Remote,1067376
52,Male,High School,HR Manager,25.0,Mumbai,On-site,4732925
54,Female,Master's,QA Engineer,12.9,Noida,On-site,2607344
46,Female,Bachelor's,Data Scientist,25.0,Pune,Remote,4522854
20,Female,Bachelor's,Full Stack Developer,19.2,Chennai,On-site,3422893
31,Female,Bachelor's,Full Stack Developer,17.0,Mumbai,Hybrid,3195524
29,Male,Bachelor's,QA Engineer,20.8,Chennai,Remote,3654693
